locations
-0.3237, 2.1754,  1.8338
-0.1371, -2.9142, -2.2297
-2.4989, -2.8586, 0.5096
-0.6126, 2.1783,  0.1986
-1.8146, 1.9886,  1.6909
-0.0316, 1.7639,  -1.2950
-0.9331, -1.9687, -0.8915
-1.0828, 0.9936,  2.9110
0.7757,  -1.8436, -0.9234
4.1662,  1.4572,  -0.3781
-0.5377, -0.6156, -3.5887
-1.9768, 1.1915,  -1.4767
1.3078,  0.5626,  -3.5097
2.5507,  1.2465,  -1.3453
2.4468,  2.2332,  0.6107
3.3820,  1.2706,  -2.7938
2.8948,  0.4259,  0.7921
-0.6483, 1.4470,  -2.6541
0.2571,  -2.1349, 1.7796
3.0747,  -0.6267, 2.0686
0.7310,  0.3692,  2.6922
-1.3992, -1.2749, 0.4177
-1.3215, -2.1885, 1.6953
-0.3690, -1.1467, 3.0502
0.0536,  -0.6390, 1.6579
-1.9766, -0.5517, -1.1031
1.9666,  1.2316,  2.0284
1.9757,  -2.7651, -1.6109
1.3269,  1.4070,  -0.5876
3.7725,  -2.8719, 0.4998
1.0283,  -0.9183, -3.3927
0.0058,  -0.9022, -2.0795
1.9116,  -2.8430, 1.2032
3.0041,  -1.8285, -0.8830
0.8452,  -3.1402, -0.1213
2.2763,  -0.7736, -1.2863

rotations
-0.5962, 0.8224,  -0.1358
-1.5485, -2.1892, -0.0127
1.6587,  2.0119,  -0.0118
0.1347,  -0.0586, 0.6289
-0.2520, 0.8602,  0.6844
0.4922,  -1.0491, 3.1274
0.3836,  0.1931,  -0.3491
2.3272,  -2.7973, -0.8657
0.8756,  1.9067,  -0.5526
-0.5962, -1.6167, -0.1358
-1.3470, -1.3137, -0.6713
-1.9375, -1.5919, -0.4160
0.8484,  -0.1729, 1.1203
-0.2520, 0.8602,  0.6844
2.2895,  -0.3596, 0.2390
0.0000,  0.3037,  -0.0000
2.3272,  0.0306,  -0.8657
-1.5838, 2.0961,  0.0612
-0.3699, 0.8416,  0.0416
-2.0309, 0.3121,  -0.4809
-0.4597, 0.5077,  2.5875
-1.2489, 1.1807,  1.3141
-0.0010, 0.8513,  0.3038
-0.8521, -0.1580, 2.9026
0.0304,  3.9749,  -0.0053
-2.6257, 0.2767,  -3.0831
0.1660,  1.5746,  0.2219
0.0229,  0.1484,  0.1182
-1.5541, -2.2694, -0.0191
1.5174,  2.5529,  -0.0881
0.2612,  2.6529,  -0.0147
-1.6746, 0.1200,  -0.0369
-1.0546, -0.1854, 2.9240
0.2572,  -1.1093, 0.1014
1.3296,  -2.1109, -0.8963
1.1579,  0.2930,  0.0675
